Channel,Time
507,3680.3980 
925,3681.4863 
427,3685.2768 
1283,3689.4952 
285,3690.3770 
1224,3691.4454 
477,3694.2648 
759,3696.2870 
151,3697.4467 
1356,3698.3350 
1317,3700.2717 
406,3701.2702 
243,3702.2670 
187,3706.2657 
320,3707.2631 
745,3708.2648 
969,3713.2582 
1012,3720.2897 
95,3723.2723 
2343,3726.2676 
259,3727.2658 
647,3728.2737 
385,3729.2748 
88,3730.2646 
1343,3744.2663 
633,3745.4526 
153,3750.2676 
330,3751.2784 
414,3752.2620 
367,3753.2660 
1346,3760.2670 
680,3761.2629 
151,3763.2986 
1298,3764.3571 
190,3765.3126 
607,3766.2675 
505,3767.2584 
423,3772.3024 
1319,3773.3068 
709,3775.2643 
156,3781.3066 
543,3785.3718 
781,3786.2805 
1313,3787.3565 
418,3791.4023 
314,3793.3897 
579,3797.3946 
1280,3798.2854 
339,3799.3790 
1347,3802.2690 
1283,3806.4827 
193,3807.3306 
830,3809.4534 
450,3813.4003 
725,3815.4392 
176,3818.3262 
624,3826.3602 
457,3827.3558 
1411,3832.4607 
588,3833.3463 
293,3836.4220 
430,3837.4047 
312,3844.3048 
385,3846.3179 
209,3847.3817 
386,3850.3243 
855,3852.3584 
1030,3853.2905 
615,3854.3543 
2240,3855.4131 
1283,3857.3115 
827,3863.4228 
168,3865.4049 
1394,3867.4075 
603,3870.4118 
240,3871.3960 
361,3877.4117 
546,3878.3013 
1208,3880.3153 
412,3881.3618 
128,3882.2960 
111,3883.3120 
941,3884.3767 
1026,3885.3193 
708,3885.3193 
419,3886.3143 
572,3887.3620 
786,3889.4099 
420,3890.3013 
453,3891.3300 
142,3894.3653 
1319,3896.3185 
368,3898.3175 
155,3899.3049 
263,3900.3561 
141,3901.3517 
673,3905.3621 
1396,3907.3255 
716,3908.3290 
1372,3909.3184 
625,3910.3254 
726,3914.3338 
174,3915.3218 
302,3916.3095 
621,3917.3197 
1391,3918.3150 
92,3919.2974 
781,3923.3090 
1332,3924.3113 
885,3925.3262 
1361,3926.3046 
95,3927.3019 
436,3929.3033 
385,3931.2992 
265,3937.3575 
744,3938.3432 
228,3940.3241 
595,3944.2913 
1374,3946.2815 
347,3948.2833 
126,3949.2777 
240,3953.2866 
421,3955.2910 
509,3958.2821 
408,3959.2847 
1346,3962.2838 
1388,3969.2786 
1321,3970.2965 
254,3974.2788 
1576,3975.3335 
200,3977.2849 
912,3979.2854 
798,3980.3501 
574,3981.3100 
229,3989.2875 
143,3991.2805 
363,3996.3052 
1183,3997.3766 
451,3998.3107 
400,3999.3473 
1412,4001.2802 
383,4010.3139 
1226,4011.3045 
1927,4012.4116 
1367,4012.4116 
1340,4012.4116 
583,4012.4116 
387,4014.3059 
912,4015.2968 
354,4016.3995 
403,4016.3995 
969,4016.3995 
1308,4017.3348 
922,4020.2923 
1304,4023.2908 
976,4025.3291 
421,4026.3276 
803,4027.2919 
143,4028.2921 
1472,4031.3242 
86,4032.3348 
472,4033.3052 
508,4035.2876 
387,4036.3610 
1348,4039.3717 
387,4040.3635 
492,4041.2904 
470,4042.3731 
490,4043.3386 
226,4044.4216 
251,4045.2967 
332,4046.4017 
507,4048.4251 
261,4049.3496 
450,4051.3507 
944,4055.2903 
147,4056.3587 
1268,4058.3657 
548,4059.3481 
197,4060.3601 
904,4063.3498 
1315,4064.2980 
156,4067.3453 
756,4068.3432 
323,4071.3443 
1001,4080.3851 
287,4083.4459 
588,4087.4440 
623,4092.5258 
1379,4093.3523 
555,4094.4833 
611,4098.3522 
659,4103.2950 
348,4104.3008 
1380,4105.3897 
397,4106.4778 
263,4109.4789 
180,4115.3008 
576,4118.3072 
782,4119.2896 
1016,4120.2984 
472,4121.2943 
95,4122.2951 
1366,4123.2878 
1310,4124.2881 
182,4125.3161 
1381,4126.3281 
303,4139.3172 
